,Id,SalePrice
0,1461,112694.06938309045
1,1462,161731.13490992092
2,1463,189939.0541808179
3,1464,196400.17532525986
4,1465,205500.01075486132
5,1466,173213.30631272958
6,1467,182692.30355272084
7,1468,158483.43872097007
8,1469,210024.40737243387
9,1470,116049.17537199202
10,1471,159262.13043190015
11,1472,96959.3640567855
12,1473,93313.26699850563
13,1474,146119.05875321655
14,1475,108493.34000055553
15,1476,376282.66396523535
16,1477,263076.73957999866
17,1478,314056.2863098566
18,1479,306953.8785617553
19,1480,485211.5724319628
20,1481,310784.80919715064
21,1482,205306.1345103398
22,1483,179217.01767092152
23,1484,162968.3565693282
24,1485,178025.0739659999
25,1486,190001.33453986523
26,1487,337887.1380412936
27,1488,220285.3788346084
28,1489,205320.76244370508
29,1490,258399.92177620644
30,1491,200536.06197258172
31,1492,102729.20534396399
32,1493,194836.25693119227
33,1494,314670.8334733924
34,1495,290866.8817758055
35,1496,248407.8285757565
36,1497,178540.12138442378
37,1498,177428.41781304582
38,1499,164375.5353723519
39,1500,149731.7225841052
40,1501,195228.73084226355
41,1502,133282.4379237837
42,1503,366458.46298955404
43,1504,234976.02245971144
44,1505,225797.27071180896
45,1506,192194.2994359284
46,1507,258365.95085180862
47,1508,196978.86664876287
48,1509,154173.17759017056
49,1510,143320.74654814892
50,1511,163047.81964860382
51,1512,182296.1877665455
52,1513,151299.06328919614
53,1514,168856.3216517754
54,1515,213856.2091728185
55,1516,154875.65479875758
56,1517,180370.30497022005
57,1518,123835.85859964791
58,1519,219278.755214616
59,1520,127180.62653508864
60,1521,135343.34446176948
61,1522,188758.0100232598
62,1523,113667.17475192435
63,1524,126797.54320846824
64,1525,119039.27936902837
65,1526,109018.03786695204
66,1527,105479.20114911869
67,1528,133832.92673828124
68,1529,160376.6966380198
69,1530,206388.31358124505
70,1531,127543.86301910304
71,1532,91348.43552426135
72,1533,163737.06352706894
73,1534,129047.41689777913
74,1535,152496.214538866
75,1536,93423.06796501105
76,1537,48808.145692007194
77,1538,151390.7252035726
78,1539,204723.6530588613
79,1540,120397.60623296967
80,1541,141874.3233517956
81,1542,165610.9911557692
82,1543,188026.18942914874
83,1544,74190.35634230559
84,1545,120132.88864176927
85,1546,138208.07696752402
86,1547,133050.7370702171
87,1548,152877.9776558224
88,1549,127923.16213403438
89,1550,143871.99217616295
90,1551,106927.91677394736
91,1552,163316.72349473246
92,1553,153651.68419250948
93,1554,122936.36760209588
94,1555,159399.23260572273
95,1556,59534.11554722529
96,1557,142343.6562666544
97,1558,106572.99283834375
98,1559,62259.87640649291
99,1560,122452.56144509383
100,1561,155464.9610993465
101,1562,129761.67364852861
102,1563,130945.71216060736
103,1564,162881.23590147062
104,1565,159443.43316192972
105,1566,230879.08037048377
106,1567,73242.86463226596
107,1568,220207.17953566983
108,1569,130714.38641208119
109,1570,126106.26915492708
110,1571,86356.89904675135
111,1572,151563.3292820955
112,1573,269020.7093553535
113,1574,138400.6346936133
114,1575,233609.13813813
115,1576,230393.85186692196
116,1577,182037.48369960845
117,1578,156899.53401294968
118,1579,148640.69782183846
119,1580,190043.68810211407
120,1581,155218.13621983287
121,1582,134299.96094424883
122,1583,282035.2989156756
123,1584,221137.60402218797
124,1585,134317.003207191
125,1586,83841.39875395803
126,1587,106561.29830930525
127,1588,153630.7856639418
128,1589,106734.68822645489
129,1590,122231.26232122708
130,1591,91343.77777523361
131,1592,128587.10486466583
132,1593,126812.51636560174
133,1594,153143.05234289213
134,1595,117153.54525628031
135,1596,233815.26251217184
136,1597,209187.03414219906
137,1598,211060.73816454152
138,1599,187039.93593222086
139,1600,166931.35458463998
140,1601,52542.03190798061
141,1602,127178.99679152566
142,1603,47809.41755894579
143,1604,276156.3947775989
144,1605,224030.20746471293
145,1606,150745.70075163696
146,1607,165892.7784630716
147,1608,200125.16359837368
148,1609,189823.44842027986
149,1610,149694.00733122963
150,1611,123825.70572490853
151,1612,185542.84176284724
152,1613,163101.8686127515
153,1614,134068.6813126738
154,1615,97087.48139456098
155,1616,73661.85556633973
156,1617,85127.94381750587
157,1618,135702.1205229066
158,1619,139850.09384175073
159,1620,182427.9265283189
160,1621,131435.37703502696
161,1622,149343.56693083936
162,1623,256304.99656526934
163,1624,197904.12380662715
164,1625,117736.10973400876
165,1626,165979.54598293695
166,1627,193349.3865695657
167,1628,277766.2512192782
168,1629,176635.50326097675
169,1630,369999.45306211547
170,1631,258095.74002917853
171,1632,251806.5058156889
172,1633,173776.82132115238
173,1634,184597.1290992853
174,1635,170144.26302983
175,1636,146447.43791419882
176,1637,202403.42957128453
177,1638,174643.72261508738
178,1639,181357.14543742588
179,1640,234960.51430349224
180,1641,182380.43407857223
181,1642,252435.77754676613
182,1643,216525.0154911957
183,1644,238479.09110062078
184,1645,214015.95979770363
185,1646,154828.80124408763
186,1647,156587.99781869483
187,1648,127489.04211938809
188,1649,126099.71009577726
189,1650,117335.86489453717
190,1651,116221.17145308413
191,1652,97100.71456289396
192,1653,93111.27809351511
193,1654,145955.83852420773
194,1655,122313.583252235
195,1656,143427.25200633952
196,1657,156801.46704659486
197,1658,148868.86687035873
198,1659,128114.6686584373
199,1660,148813.28839022963
200,1661,441294.1863272453
